UID,CMT,UNM
C00521013,208730,F
C00484287,185061,W
C00101766,133000,C
C00078261,111500,U
C00142315,64000,B
C00366070,60500,F
C00313650,59500,U
C00226472,59500,R
C00309146,45500,A
C00176727,44000,A
C00238444,43000,C
C00034785,37000,P
C00451153,36500,G
C00202861,36000,T
C00485003,34500,C
C00168070,33750,M
C00367995,31500,S
C00079541,31000,N
C00384602,29500,R
C00389403,26000,Q
